ForecastID;DateKey;TimeKey;LocationKey;ParameterKey;ModelKey;Value;CreatedDate
1;20251218;1400;1;1;1;137951;18/12/2025 7:12
2;20251218;1500;1;1;1;156656;18/12/2025 7:12
3;20251218;1600;1;1;1;153897;18/12/2025 7:12
4;20251218;1700;1;1;1;180325;18/12/2025 7:12
5;20251218;1800;1;1;1;250325;18/12/2025 7:12
6;20251218;1900;1;1;1;220904;18/12/2025 7:12
7;20251218;2000;1;1;1;206073;18/12/2025 7:12
8;20251218;2100;1;1;1;239165;18/12/2025 7:12
9;20251218;2200;1;1;1;17531;18/12/2025 7:12
10;20251218;2300;1;1;1;13462;18/12/2025 7:12
11;20251219;0;1;1;1;105657;18/12/2025 7:12
12;20251219;100;1;1;1;96465;18/12/2025 7:12
13;20251219;200;1;1;1;89269;18/12/2025 7:12
14;20251219;300;1;1;1;96956;18/12/2025 7:12
15;20251219;400;1;1;1;110921;18/12/2025 7:12
16;20251219;500;1;1;1;119984;18/12/2025 7:12
17;20251219;600;1;1;1;144704;18/12/2025 7:12
18;20251219;700;1;1;1;206391;18/12/2025 7:12
19;20251219;800;1;1;1;260258;18/12/2025 7:12
20;20251219;900;1;1;1;220401;18/12/2025 7:12
21;20251219;1000;1;1;1;188263;18/12/2025 7:12
22;20251219;1100;1;1;1;171637;18/12/2025 7:12
23;20251219;1200;1;1;1;152423;18/12/2025 7:12
24;20251219;1300;1;1;1;115311;18/12/2025 7:12
25;20251218;1400;1;3;1;2315;18/12/2025 7:12
26;20251218;1500;1;3;1;2269;18/12/2025 7:12
27;20251218;1600;1;3;1;2416;18/12/2025 7:12
28;20251218;1700;1;3;1;2321;18/12/2025 7:12
29;20251218;1800;1;3;1;1729;18/12/2025 7:12
30;20251218;1900;1;3;1;159;18/12/2025 7:12
31;20251218;2000;1;3;1;1674;18/12/2025 7:12
32;20251218;2100;1;3;1;1558;18/12/2025 7:12
33;20251218;2200;1;3;1;1476;18/12/2025 7:12
34;20251218;2300;1;3;1;2394;18/12/2025 7:12
35;20251219;0;1;3;1;1877;18/12/2025 7:12
36;20251219;100;1;3;1;1909;18/12/2025 7:12
37;20251219;200;1;3;1;2033;18/12/2025 7:12
38;20251219;300;1;3;1;1958;18/12/2025 7:12
39;20251219;400;1;3;1;1937;18/12/2025 7:12
40;20251219;500;1;3;1;2251;18/12/2025 7:12
41;20251219;600;1;3;1;1705;18/12/2025 7:12
42;20251219;700;1;3;1;1809;18/12/2025 7:12
43;20251219;800;1;3;1;2017;18/12/2025 7:12
44;20251219;900;1;3;1;1909;18/12/2025 7:12
45;20251219;1000;1;3;1;2139;18/12/2025 7:12
46;20251219;1100;1;3;1;2389;18/12/2025 7:12
47;20251219;1200;1;3;1;2288;18/12/2025 7:12
48;20251219;1300;1;3;1;2545;18/12/2025 7:12
49;20251218;1400;1;4;1;6271;18/12/2025 7:12
50;20251218;1500;1;4;1;5744;18/12/2025 7:12
51;20251218;1600;1;4;1;518;18/12/2025 7:12
52;20251218;1700;1;4;1;3808;18/12/2025 7:12
53;20251218;1800;1;4;1;4097;18/12/2025 7:12
54;20251218;1900;1;4;1;5415;18/12/2025 7:12
55;20251218;2000;1;4;1;6691;18/12/2025 7:12
56;20251218;2100;1;4;1;7319;18/12/2025 7:12
57;20251218;2200;1;4;1;7735;18/12/2025 7:12
58;20251218;2300;1;4;1;6958;18/12/2025 7:12
59;20251219;0;1;4;1;6617;18/12/2025 7:12
60;20251219;100;1;4;1;6125;18/12/2025 7:12
61;20251219;200;1;4;1;6248;18/12/2025 7:12
62;20251219;300;1;4;1;6118;18/12/2025 7:12
63;20251219;400;1;4;1;6323;18/12/2025 7:12
64;20251219;500;1;4;1;589;18/12/2025 7:12
65;20251219;600;1;4;1;5502;18/12/2025 7:12
66;20251219;700;1;4;1;5844;18/12/2025 7:12
67;20251219;800;1;4;1;7121;18/12/2025 7:12
68;20251219;900;1;4;1;7718;18/12/2025 7:12
69;20251219;1000;1;4;1;7473;18/12/2025 7:12
70;20251219;1100;1;4;1;6177;18/12/2025 7:12
71;20251219;1200;1;4;1;5347;18/12/2025 7:12
72;20251219;1300;1;4;1;5162;18/12/2025 7:12
73;20251218;1400;1;5;1;367;18/12/2025 7:12
74;20251218;1500;1;5;1;370;18/12/2025 7:12
75;20251218;1600;1;5;1;3282;18/12/2025 7:12
76;20251218;1700;1;5;1;1972;18/12/2025 7:12
77;20251218;1800;1;5;1;1611;18/12/2025 7:12
78;20251218;1900;1;5;1;2227;18/12/2025 7:12
79;20251218;2000;1;5;1;3465;18/12/2025 7:12
80;20251218;2100;1;5;1;4437;18/12/2025 7:12
81;20251218;2200;1;5;1;455;18/12/2025 7:12
82;20251218;2300;1;5;1;3521;18/12/2025 7:12
83;20251219;0;1;5;1;3332;18/12/2025 7:12
84;20251219;100;1;5;1;3293;18/12/2025 7:12
85;20251219;200;1;5;1;3732;18/12/2025 7:12
86;20251219;300;1;5;1;3742;18/12/2025 7:12
87;20251219;400;1;5;1;3675;18/12/2025 7:12
88;20251219;500;1;5;1;3062;18/12/2025 7:12
89;20251219;600;1;5;1;2791;18/12/2025 7:12
90;20251219;700;1;5;1;3027;18/12/2025 7:12
91;20251219;800;1;5;1;3919;18/12/2025 7:12
92;20251219;900;1;5;1;4244;18/12/2025 7:12
93;20251219;1000;1;5;1;385;18/12/2025 7:12
94;20251219;1100;1;5;1;2702;18/12/2025 7:12
95;20251219;1200;1;5;1;2045;18/12/2025 7:12
96;20251219;1300;1;5;1;2323;18/12/2025 7:12
97;20251218;1400;1;6;1;535;18/12/2025 7:12
98;20251218;1500;1;6;1;395;18/12/2025 7:12
99;20251218;1600;1;6;1;209;18/12/2025 7:12
100;20251218;1700;1;6;1;207;18/12/2025 7:12
101;20251218;1800;1;6;1;426;18/12/2025 7:12
102;20251218;1900;1;6;1;566;18/12/2025 7:12
103;20251218;2000;1;6;1;535;18/12/2025 7:12
104;20251218;2100;1;6;1;771;18/12/2025 7:12
105;20251218;2200;1;6;1;577;18/12/2025 7:12
106;20251218;2300;1;6;1;229;18/12/2025 7:12
107;20251219;0;1;6;1;283;18/12/2025 7:12
108;20251219;100;1;6;1;37;18/12/2025 7:12
109;20251219;200;1;6;1;423;18/12/2025 7:12
110;20251219;300;1;6;1;42;18/12/2025 7:12
111;20251219;400;1;6;1;403;18/12/2025 7:12
112;20251219;500;1;6;1;449;18/12/2025 7:12
113;20251219;600;1;6;1;574;18/12/2025 7:12
114;20251219;700;1;6;1;701;18/12/2025 7:12
115;20251219;800;1;6;1;767;18/12/2025 7:12
116;20251219;900;1;6;1;593;18/12/2025 7:12
117;20251219;1000;1;6;1;369;18/12/2025 7:12
118;20251219;1100;1;6;1;345;18/12/2025 7:12
119;20251219;1200;1;6;1;462;18/12/2025 7:12
120;20251219;1300;1;6;1;572;18/12/2025 7:12
